ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes
R1,Research,Sectional literature discovery,Run arXiv discovery per section and cache results in arXiv registry,0,N/A,Paper lists per section in notes/research-snapshot.md; registry has searches for each query,DONE,0,Cached searches: search_id=1..8; see notes/research-snapshot.md
R2,Research,Closed/frontier systems sources,Collect reliable sources for closed systems and constrain claims to evidence,0,N/A,BibTeX entries created only from verifiable official or archival sources; notes record evidence type per system,DONE,0,Added verified official sources (OpenAI Sora + system card; Google Cloud Veo docs; Runway Gen-4.5 help docs; Luma Ray3 press; Pika blog).
R3,Research,Foundations deep dive,Objectives and architectures for video and 4D generation; flow matching; spacetime backbones,0,N/A,Short evidence notes for the key methods in notes/literature-notes.md,DONE,0,Added notes for diffusion/score/flow foundations + representative video diffusion/token-based systems.
R4,Research,Coherence and control deep dive,Temporal coherence mechanisms and controllability interfaces for video generation,0,N/A,Short evidence notes for key control methods; map each to control surfaces,DONE,0,"Added notes for representative coherence/control methods (adapters, finetune editing, attention control, trajectory/camera control, long-video stabilization)."
R5,Research,Physics and interaction deep dive,Physics priors and interaction constraints; diagnostics; failure modes,0,N/A,Short evidence notes for key physics papers; identify testable claims,DONE,0,"Added notes for representative physics/interaction methods and identified evaluation/diagnostic hooks (constraints, contact/collision protocols, domain-grounded checks)."
R6,Research,3D and 4D deep dive,NeRF and Gaussian splatting pipelines; text/video to 3D/4D; dynamic scene reps,0,N/A,Short evidence notes for key 3D/4D papers; clarify representation tradeoffs,DONE,0,"Added notes covering NeRF↔3DGS↔4DGS tradeoffs and representative text/video-to-4D pipelines (alignment, prompt consistency, transformer dynamics)."
R7,Research,Evaluation deep dive,Benchmarks and metrics for video and 4D generation; protocols; limitations; leakage risks,0,N/A,Evaluation table inputs collected with citations; limitations recorded,DONE,0,"Added notes for key video evaluation metrics/benchmarks and recorded common limitations (embedding dependence, protocol sensitivity, leakage risk)."
R8,Research,System comparison data,Curate reliable system metadata for comparison table and timeline figure,0,N/A,Comparison table has only sourced fields; missing data marked as unknown,DONE,0,Implemented transparency-aware system comparison + timeline in main.tex with official sources; undisclosed fields treated as unknown.
W0,Writing,Front matter polish,Finalize keywords and abstract after section drafts; avoid citations in abstract,0,N/A,Keywords finalized; abstract is one paragraph; abstract has no citations,DONE,0,Abstract + keywords updated; floats flushed before references via \clearpage.
W1,Writing,Introduction and scope,Define tasks and world-simulator framing; set evaluation axes and paper roadmap,8,Fig: task map,Section has clear scope boundaries; 8 verified citations; avoid repetitive year callouts,DONE,26,Section drafted in main.tex; unique cite keys: 26.
W2,Writing,Foundations: spatiotemporal generative modeling,Objectives; representations; spacetime backbones; conditioning; inference tradeoffs,14,Fig: taxonomy diagram; Fig: spacetime backbone schematic,Section provides reusable taxonomy; 14 verified citations; symbols defined if used,DONE,25,Section drafted in main.tex; unique cite keys: 25.
W3,Writing,Frontier systems and world-simulator framing,Compare open and closed systems using reliable sources; summarize capability axes and failure modes,14,Fig: timeline; Table: system comparison,Claims are evidence-bounded; 14 verified citations; each compared attribute is sourced,DONE,23,Section drafted in main.tex; unique cite keys: 23; system comparison is evidence-bounded.
W4,Writing,Temporal coherence and control,Mechanisms for consistency; motion and camera control; long-horizon coherence; editing links,14,Fig: coherence mechanism matrix; Fig: control taxonomy,Section maps methods to control interfaces; 14 verified citations; failure cases cited,DONE,21,Section drafted in main.tex; unique cite keys: 21; includes control taxonomy and mapping table.
W5,Writing,Physics and interaction priors,Physics constraints; interaction with objects; diagnostics; limits of plausibility,10,Fig: physics constraint schematic; Table: physics eval checklist,Section distinguishes evidence vs hypotheses; 10 verified citations; diagnostics are actionable,DONE,10,Section drafted in main.tex; unique cite keys: 10; includes physics integration schematic + checklist.
W6,Writing,3D and 4D aware generation and rendering,NeRF vs 3DGS vs 4DGS; dynamic representations; text/video-to-4D; integration patterns,16,Fig: NeRF vs GS vs 4DGS diagram; Fig: text or video to 4D pipeline,Section explains representation tradeoffs; 16 verified citations; render-time claims sourced,DONE,22,Section drafted in main.tex; unique cite keys: 22; includes 3D/4D method table and integration patterns.
W7,Writing,Evaluation and benchmarks,Metrics; benchmark suites; human eval; coherence and 4D evaluation gaps; leakage and reproducibility,14,Table: benchmarks and metrics map; Fig: evaluation pipeline flowchart,Section provides evaluation guidance; 14 verified citations; limitations are explicit,DONE,21,Section drafted in main.tex; unique cite keys: 21; adds stress tests and 4D evaluation checklist.
W8,Writing,Safety provenance and open problems,Threat model; provenance and watermarking; open problems for coherence physics 4D and eval,10,Fig: risk and mitigation matrix,Section separates recommendations from evidence; 10 verified citations; open problems are concrete,DONE,25,Safety + open problems drafted in main.tex; unique cite keys: 25; evidence-bounded provenance discussion.
RF1,Refinement,Rhythm refinement pass,"After all writing issues are DONE, run latex-rhythm-refiner section-by-section to improve readability while preserving all citations and meaning",0,N/A,All sections refined; no citation keys changed/dropped; compile still passes; any stylistic changes logged in Notes,DONE,0,Rhythm refinement pass applied (citations preserved; fillers trimmed; acronyms defined).
Q1,QA,Citation verification gate,Every citation in ref.bib is verified against an online source and supports its local claim,0,N/A,No fabricated citations; all BibTeX entries verified; evidence alignment checked per section,DONE,0,Compile clean: no undefined citations; ref.bib entries are verified (arXiv registry / official docs).
Q2,QA,Style QA gate,Run writing-style.md checks per section before marking W issues DONE,0,N/A,Hard gates pass for every section; deviations recorded in issue Notes,DONE,0,Style QA: no 3 consecutive uncited sentences (heuristic); avoid year-heavy narration; acronyms defined.
Q3,QA,Figure and table QA,All figures and tables referenced and explained; sizing fits IEEE two-column layout,0,N/A,No missing refs; no unreadable labels; no Overfull hbox from figures or tables,DONE,0,All figures/tables referenced; no overfull hbox; floats flushed before references.
Q4,QA,Compilation QA,Paper compiles cleanly with bibtex and no undefined citations,0,N/A,compile_paper.py exit 0; no Citation undefined; no Overfull hbox,DONE,0,compile_paper.py exit 0; main.pdf produced; no undefined citations or overfull hbox warnings.
Q5,QA,Page count QA,Main text is about 9 pages and references excluded from count,0,N/A,compile_paper.py --report-page-counts reports main text about 9 pages,DONE,0,Page count met: main text pages (exclude ref-start page) = 9; references start page = 10.
Q6,QA,Final quality checklist,Run references/quality-report.md and address any red flags,0,N/A,Quality checklist passes; remaining caveats documented,DONE,0,Quality checklist pass: outline aligned; evidence-bounded claims; visuals referenced; delivery criteria met.
